issurer,ISIN,COUPON,YIELD,ISSUE DATE,MATURITY DATE,2-Jan,3-Jan,4-Jan,5-Jan,6-Jan,7-Jan,8-Jan,9-Jan,10-Jan,11-Jan,12-Jan,13-Jan,14-Jan,15-Jan,YTM,YTM1,YTM2,YTM3,YTM4,YTM5,YTM6,YTM7,YTM8,YTM9,YTM10,SPOT1,SPOT2,SPOT3,SPOT4,SPOT5,SPOT6,SPOT7,SPOT8,SPOT9,SPOT10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,SPOT1,SPOT2,SPOT3,SPOT4,SPOT5,SPOT6,SPOT7,SPOT8,SPOT9,SPOT10
"Canada, Government of...",CA135087D929,0.015,0.0198,10/14/2014,3/1/2020,99.85,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,0.017,0.0182,0.0178,0.0172,0.0178,0.0127,0.0177,0.0125,0.0194,0.02,0.0145,0.0182,0.0178,0.0172,0.0178,0.0127,0.0177,0.0125,0.0194,0.02,0.0145,0.0214,0.0244,0.019,0.0262,0.0193,0.0153,0.0147,0.022,0.0204,0.0139,0.0182,0.0178,0.0172,0.0178,0.0127,0.0177,0.0125,0.0194,0.02,0.0145
"Canada, Government of...",CA135087E596,0.0075,0.0197,4/13/2015,9/1/2020,99.26,99.28,99.28,99.28,99.28,99.27,99.28,99.28,99.28,99.28,99.27,99.27,99.28,99.3,0.0186,0.0206,0.0228,0.0236,0.02,0.0151,0.0181,0.0178,0.0236,0.0194,0.0181,0.0206,0.0228,0.0236,0.02,0.0151,0.0181,0.0178,0.0236,0.0194,0.0181,0.0194,0.0201,0.0199,0.0168,0.0154,0.0155,0.0178,0.0203,0.0208,0.0152,0.0198,0.0211,0.0181,0.022,0.016,0.0165,0.0136,0.0207,0.0202,0.0142
"Canada, Government of...",CA135087F254,0.0075,0.0185,10/19/2015,3/1/2021,98.89,98.93,98.94,98.94,98.95,98.94,98.92,98.92,98.88,98.89,98.89,98.9,98.9,98.93,0.0179,0.0198,0.0211,0.0181,0.022,0.016,0.0165,0.0136,0.0207,0.0202,0.0142,0.0198,0.0211,0.0181,0.022,0.016,0.0165,0.0136,0.0207,0.0202,0.0142,0.0176,0.0168,0.0128,0.0142,0.0061,0.013,0.0145,0.0171,0.0109,0.0069,0.0196,0.0206,0.019,0.0194,0.0157,0.016,0.0157,0.0205,0.0205,0.0147
"Canada, Government of...",CA135087TZ75,0.105,0.0068,12/15/1990,3/15/2021,110.28,110.27,110.27,110.27,110.27,110.27,110.2,110.09,110.06,110.05,110.04,110.03,110.02,110.01,0.0169,0.0178,0.0208,0.0174,0.0176,0.0167,0.0141,0.0159,0.0205,0.0179,0.0148,0.0178,0.0208,0.0174,0.0176,0.0167,0.0141,0.0159,0.0205,0.0179,0.0148,0.014,0.0221,0.0233,0.0172,0.0173,0.0125,0.0075,0.0176,0.0197,0.014,0.0186,0.0187,0.0159,0.0168,0.0109,0.0145,0.0151,0.0188,0.0157,0.0108
"Canada, Government of...",CA135087F585,0.0075,0.0172,4/11/2016,9/1/2021,98.41,98.45,98.46,98.48,98.49,98.46,98.46,98.43,98.43,98.41,98.4,98.38,98.41,98.42,0.0167,0.0196,0.0206,0.019,0.0194,0.0157,0.016,0.0157,0.0205,0.0205,0.0147,0.0196,0.0206,0.019,0.0194,0.0157,0.016,0.0157,0.0205,0.0205,0.0147,,,,,,,,,,,0.0163,0.0204,0.0196,0.017,0.0141,0.0135,0.0113,0.0182,0.0177,0.0124
"Canada, Government of...",CA135087G328,0.005,0.0171,10/11/2016,3/1/2022,97.57,97.63,97.64,97.65,97.66,97.65,97.64,97.6,97.61,97.6,97.58,97.57,97.58,97.61,0.0162,0.0164,0.0163,0.0196,0.0209,0.013,0.0159,0.0134,0.0206,0.0167,0.0141,0.02,0.0199,0.0232,0.0245,0.0166,0.0195,0.017,0.022,0.0203,0.0177,,,,,,,,,,,,,,,,,,,,
"Canada, Government of...",CA135087H490,0.0175,0.0158,10/6/2017,3/1/2023,100.31,100.42,100.44,100.46,100.48,100.45,100.44,100.35,100.31,100.3,100.28,100.27,100.31,100.38,0.0157,0.0186,0.0187,0.0159,0.0168,0.0109,0.0145,0.0151,0.0188,0.0157,0.0108,0.0186,0.0187,0.0159,0.0168,0.0109,0.0145,0.0151,0.0188,0.0157,0.0108,,,,,,,,,,,,,,,,,,,,
"Canada, Government of...",CA135087J546,0.0225,0.0155,10/5/2018,3/1/2024,102.52,102.65,102.68,102.72,102.75,102.58,102.68,102.53,102.47,102.47,102.46,102.46,102.54,102.64,0.0155,0.0171,0.0176,0.0195,0.0157,0.0145,0.011,0.0119,0.0177,0.0169,0.0125,0.0207,0.0212,0.0231,0.0193,0.0181,0.0146,0.0155,0.0213,0.0205,0.0161,,,,,,,,,,,,,,,,,,,,
"Canada, Government of...",CA135087J967,0.015,0.0156,4/5/2019,9/1/2024,98.72,98.95,99.06,99.18,99.29,99.11,99.25,98.99,99.03,99.04,99.05,99.06,98.99,99.1,0.0154,0.0163,0.0204,0.0196,0.017,0.0141,0.0135,0.0113,0.0182,0.0177,0.0124,0.0163,0.0204,0.0196,0.017,0.0141,0.0135,0.0113,0.0182,0.0177,0.0124,,,,,,,,,,,,,,,,,,,,
"Canada, Government of...",CA135087K528,0.0125,0.0155,10/11/2019,3/1/2025,98.24,98.43,98.48,98.53,98.58,98.48,98.48,98.3,98.25,98.25,98.24,98.24,98.34,98.47,0.0155,0.0176,0.0184,0.0194,0.0191,0.0128,0.0122,0.0128,0.0199,0.0185,0.0117,0.0176,0.0184,0.0194,0.0191,0.0128,0.0122,0.0128,0.0199,0.0185,0.0117,,,,,,,,,,,,,,,,,,,,
